Rang;code_nip;Nom;UE 11 Informatique;UE 12 Conn. et comp. Géné;Moy S1;UE 21  INFO.;UE 22 Conn. et comp. gén.;Sport;Moy S2;Moy S1-S2;UE 31;UE32;UE33\{M3302,M3303};Moy S3;Moy S1-S2-S3;Voeux;Avis
9;134566I;A I;13.91;15.279999999999999;14.5;13.300000000000001;14.539999999999999;0.20000000000000001;14.08;14.289999999999999;13.369999999999999;14.67;15.1;14.140000000000001;14.24;ENSIBS CyberDéfense Vannes;1 Très favorable;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;INSA Rennes;1 Très favorable;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;ENSIBS Informatique de Confiance;1 Très favorable;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;Polytech’Nantes;1 Très favorable;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;Licence Info Miage Nantes;1 Très favorable;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;ESISAR Grenoble (Ecole Ing.);1 Très favorable;;;;;;;;;;;;;;;;;
10;134566J;A J;16.199999999999999;14.630000000000001;15.52;15.119999999999999;11.07;0;13.23;14.375;13.41;14.68;12.84;13.91;14.220000000000001;Napier Ecosse;1 Très favorable;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;UWS  Ecosse;1 Très favorable;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;Licence pro MIAR  Nantes;1 Très favorable;;;;;;;;;;;;;;;;;
11;134566K;A K;14.109999999999999;14.85;14.43;12.609999999999999;15.279999999999999;0;13.859999999999999;14.145;12.51;16.100000000000001;14.56;14.33;14.210000000000001;ENSIBS CyberDéfense Vannes;1 Très favorable;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;ESIEA Laval;1 Très favorable;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;ESAIP Angers;1 Très favorable;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;Licence Info  Nantes;1 Très favorable;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;EPSI  Nantes;5 Sans avis;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;EPITA Paris;1 Très favorable;;;;;;;;;;;;;;;;;
12;134566L;A L;14.609999999999999;13.16;13.98;12.960000000000001;13.9;0;13.4;13.69;13.48;15.85;14.65;14.66;14.01;ENSIBS CyberDéfense Vannes;1 Très favorable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;ISIMA Aubière (Ecole Ing);1 Très favorable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;ENSEIRB-MatMeca Bordeaux (Ecole Ing);1 Très favorable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;ESIEA Laval;1 Très favorable;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
